District,Block,Population,Literacy_Rate,Rural_Percentage,No_of_Schools,Dropout_Rate,Lat,Long
Nagapattinam,Block_107,378064,69.0,38,147,7.0,8.6479,79.4387
Ariyalur,Block_108,54931,82.9,63,41,14.0,10.911,78.863
Pudukkottai,Block_109,375981,79.9,73,110,13.5,8.0193,79.5063
Trichy,Block_110,367900,79.4,49,38,8.2,10.3953,76.5767
Perambalur,Block_111,190871,78.7,38,49,13.0,10.2711,77.2128
Chennai,Block_112,346843,79.6,26,25,6.7,9.7643,77.055
Virudhunagar,Block_113,187011,87.6,15,85,11.2,11.4057,79.5436
Kanchipuram,Block_114,350031,85.6,11,117,9.6,9.5046,79.2783
Nilgiris,Block_115,445479,87.2,23,103,7.1,9.8146,79.5998
Nagapattinam,Block_116,332771,90.1,49,90,8.7,11.9312,77.8097
Coimbatore,Block_117,341529,65.8,2,186,10.5,11.3857,80.3127
Tiruvallur,Block_118,129097,65.7,71,142,9.2,12.5137,77.3814
Nilgiris,Block_119,334761,75.4,71,50,10.0,10.1566,77.5381
Tiruppur,Block_120,363773,73.5,18,177,7.4,8.1211,79.0523
Perambalur,Block_121,61605,90.9,62,175,7.2,9.2986,79.1313
Trichy,Block_122,252911,71.0,25,145,9.9,11.4541,77.9173
Tiruvallur,Block_123,214012,74.4,16,71,4.2,8.3028,76.805
Krishnagiri,Block_124,465962,87.7,1,114,8.3,8.3215,78.7778
Viluppuram,Block_125,89700,88.6,33,168,4.4,9.389,77.4417
Theni,Block_126,463215,78.6,49,131,5.1,11.1094,77.9575
Virudhunagar,Block_127,455687,68.8,53,53,7.0,8.1696,76.8264
Krishnagiri,Block_128,91505,72.7,79,148,9.5,11.5814,78.8247
Namakkal,Block_129,415343,82.3,71,174,14.0,10.8933,79.2683
Namakkal,Block_130,332166,72.8,28,26,6.0,12.0378,77.0382
Nilgiris,Block_131,185739,89.8,51,28,12.7,10.3661,76.0759
Thanjavur,Block_132,118951,89.8,4,94,3.8,10.9108,77.7077
Nilgiris,Block_133,419817,83.7,56,165,6.2,13.2631,79.568
Kanchipuram,Block_134,427503,79.7,18,34,3.9,8.7842,80.4297
Theni,Block_135,453878,68.3,26,173,14.4,10.8829,77.4383
Madurai,Block_136,150614,65.8,29,153,12.0,13.1977,77.3657
Ariyalur,Block_137,108675,78.1,33,64,3.6,9.9927,79.9918
Madurai,Block_138,255308,87.7,67,26,14.5,12.1426,77.3734
Theni,Block_139,380073,72.2,74,196,6.9,8.8483,79.4681
Cuddalore,Block_140,397591,71.2,20,192,7.6,10.0519,79.434
Salem,Block_141,188349,91.6,51,38,13.9,8.9794,76.5898
Tirunelveli,Block_142,191460,86.0,14,41,6.0,11.9225,80.284
Tiruvarur,Block_143,359671,90.3,2,87,4.0,13.4793,79.4226
Nilgiris,Block_144,146036,71.0,16,139,3.6,8.936,80.368
Theni,Block_145,440516,75.2,1,167,13.1,8.2955,78.0415
Karur,Block_146,220747,73.6,66,124,9.2,9.4708,77.4278
Virudhunagar,Block_147,327955,79.4,73,31,3.0,12.1863,76.3391
Chennai,Block_148,233489,67.4,4,124,5.7,11.1355,80.2733
Tiruppur,Block_149,393374,75.8,5,93,13.7,9.1716,79.2235
Ramanathapuram,Block_150,70291,89.5,24,119,10.0,12.0946,80.4834
Perambalur,Block_151,248080,88.1,61,33,5.8,11.2748,76.9213
Thoothukudi,Block_152,496167,77.6,30,95,13.2,8.7938,77.2866
Thoothukudi,Block_153,375685,65.2,70,86,14.5,11.0697,77.1554
Tiruvarur,Block_154,308665,87.0,40,39,5.7,10.188,76.1276
Ariyalur,Block_155,186238,67.0,30,170,12.6,13.0912,78.4601
Nilgiris,Block_156,421410,76.2,32,160,13.8,12.9219,80.1922
Dindigul,Block_157,244236,81.5,7,33,12.1,10.2805,77.064
Sivagangai,Block_158,439030,80.5,45,143,12.2,8.5834,76.0903
Sivagangai,Block_159,489003,68.5,0,183,3.9,8.9988,77.4615
Kanchipuram,Block_160,161010,88.9,68,128,4.8,9.8733,76.0191
Thoothukudi,Block_161,113734,84.0,68,116,11.8,12.8591,79.3997
Cuddalore,Block_162,480001,67.9,32,34,14.8,9.4078,78.8218
Karur,Block_163,448019,66.2,49,149,3.3,10.9763,80.3063
Ramanathapuram,Block_164,378840,75.4,27,199,9.7,10.3997,78.8966
Tiruppur,Block_165,153283,70.9,28,119,3.2,13.4999,79.149
Coimbatore,Block_166,253691,78.7,47,66,13.9,11.6516,78.531
Virudhunagar,Block_167,368886,81.8,57,177,12.3,8.0892,78.4741
Tirunelveli,Block_168,370177,70.8,43,175,7.4,9.293,80.2576
Thoothukudi,Block_169,354519,72.4,9,130,3.0,8.3918,78.1887
Nagapattinam,Block_170,268997,82.7,6,164,3.3,9.2457,76.6429
Thanjavur,Block_171,446564,66.0,1,74,4.1,12.9795,78.6735
Ramanathapuram,Block_172,146916,84.5,42,43,9.0,11.1768,80.2694
Dindigul,Block_173,475023,68.7,3,56,14.3,8.4382,80.2719
Dindigul,Block_174,251841,77.8,24,159,13.9,9.5297,80.2437
Krishnagiri,Block_175,481297,75.9,1,166,13.9,10.8422,79.8095
Thoothukudi,Block_176,175330,70.8,35,165,6.0,10.3563,79.6144
Perambalur,Block_177,246112,81.0,33,85,6.0,11.1622,78.8865
Ramanathapuram,Block_178,197575,85.5,72,136,7.1,8.7162,80.4645
Erode,Block_179,104661,70.8,12,119,13.2,12.3412,78.5709
Nilgiris,Block_180,58710,87.6,48,196,3.7,8.4978,76.6424
Kanchipuram,Block_181,475472,82.9,29,76,11.0,13.0656,76.9468
Salem,Block_182,267359,83.8,36,194,8.6,13.4133,78.5938
Nilgiris,Block_183,192036,77.5,56,188,5.4,13.1738,78.2412
Thoothukudi,Block_184,479124,76.8,34,52,11.9,8.5505,76.5779
Krishnagiri,Block_185,422493,83.3,27,99,10.5,10.0138,78.2088
Tirunelveli,Block_186,482042,68.6,66,142,5.8,8.6652,76.3212
Kanchipuram,Block_187,183090,82.4,48,89,10.5,8.8914,79.8133
Tiruvallur,Block_188,188248,88.4,7,140,12.7,9.5609,76.1051
Theni,Block_189,240456,68.8,40,87,3.9,8.7275,77.3134
Dindigul,Block_190,253045,68.3,7,124,8.9,10.1271,76.2362
Nagapattinam,Block_191,246729,74.0,13,92,4.7,9.3589,78.4701
Perambalur,Block_192,438748,87.6,12,103,9.5,12.2845,80.4513
Namakkal,Block_193,379019,86.7,8,92,3.2,9.8623,76.629
Vellore,Block_194,185736,67.0,42,172,9.7,8.8389,76.6461
Ramanathapuram,Block_195,318303,66.2,56,96,9.9,12.8831,78.9086
Tiruvallur,Block_196,183443,77.3,12,64,12.1,12.2892,78.6974
Madurai,Block_197,138371,79.4,33,79,6.9,8.8252,79.2446
Virudhunagar,Block_198,111439,75.4,34,177,3.2,12.4544,76.0122
Virudhunagar,Block_199,186462,69.6,72,192,12.8,11.4316,77.8283
Nilgiris,Block_200,387143,75.2,37,181,8.7,10.0041,76.0588
Coimbatore,Block_201,118318,92.0,35,40,12.5,12.8407,77.5148
Pudukkottai,Block_202,275699,66.2,70,26,4.6,8.5245,79.0278
Tiruvarur,Block_203,447501,70.3,55,160,7.3,13.4236,78.7667
Erode,Block_204,187615,85.2,43,106,14.7,12.6213,76.9453
Thoothukudi,Block_205,91121,90.0,8,184,13.0,12.3087,76.8919
Karur,Block_206,97576,68.6,24,57,14.4,8.7867,80.2508
Pudukkottai,Block_207,208576,80.2,69,84,3.2,11.6493,80.128
Nagapattinam,Block_208,309665,87.1,58,52,5.4,12.1531,79.2035
Trichy,Block_209,339897,77.8,5,129,13.9,8.4714,79.2904
Nagapattinam,Block_210,459097,85.4,56,143,6.4,8.3387,79.2107
Cuddalore,Block_211,295002,92.0,34,84,10.7,8.0819,77.9261
Trichy,Block_212,137915,72.3,4,55,7.0,10.1921,79.0443
Pudukkottai,Block_213,292080,78.3,7,157,13.8,11.7104,79.9022
Tiruvarur,Block_214,260565,89.8,34,64,7.9,12.9504,78.7463
Coimbatore,Block_215,179727,67.9,10,127,6.2,10.5797,77.6102
Theni,Block_216,479864,76.8,44,157,9.2,8.3235,79.0875
Cuddalore,Block_217,172615,91.6,42,52,3.3,12.088,77.7358
Tirunelveli,Block_218,350249,66.8,11,154,10.6,10.308,79.0704
Chennai,Block_219,320154,80.3,58,103,12.2,13.1151,77.3737
Dindigul,Block_220,365862,81.7,68,93,6.4,8.7188,77.3683
Chennai,Block_221,112478,89.1,74,74,14.6,8.477,77.7697
Sivagangai,Block_222,301482,67.5,7,173,9.0,8.5527,76.1951
Madurai,Block_223,75794,82.0,30,81,14.7,11.7093,76.679
Vellore,Block_224,144360,78.1,68,115,10.2,9.9807,77.5873
Vellore,Block_225,393778,90.6,29,57,4.9,8.5553,76.5898
Chennai,Block_226,249298,86.7,44,84,10.7,11.3119,78.2428
Kanchipuram,Block_227,239821,85.9,74,57,13.2,11.124,76.5494
Vellore,Block_228,60440,66.4,74,78,6.9,8.9652,76.9959
Tiruvarur,Block_229,78834,85.8,30,130,4.1,12.0389,79.6426
Erode,Block_230,394634,76.1,20,37,13.9,12.1209,76.1139
Kanchipuram,Block_231,184455,88.4,6,35,10.8,9.8508,79.9077
Thanjavur,Block_232,155364,79.6,59,117,9.9,12.6975,79.2757
Tiruvallur,Block_233,343515,85.3,45,76,9.9,8.7475,80.2748
Thoothukudi,Block_234,231149,72.1,32,52,7.0,9.3321,78.5568
Kanchipuram,Block_235,449570,70.2,7,101,9.7,12.5045,77.0839
Krishnagiri,Block_236,316738,83.9,38,52,12.7,11.4775,78.9071
Theni,Block_237,68096,88.5,62,136,15.0,11.3295,78.227
Nilgiris,Block_238,137539,71.7,9,118,9.3,11.7509,76.4815
Nagapattinam,Block_239,329953,74.6,11,198,6.8,13.3542,76.3778
Chennai,Block_240,125316,81.0,62,45,7.1,9.4467,77.8959
Chennai,Block_241,298607,78.9,2,57,4.5,11.5025,76.1086
Namakkal,Block_242,102066,72.7,67,197,5.0,8.2346,77.1732
Nilgiris,Block_243,177201,76.0,1,93,3.2,11.6724,78.0241
Madurai,Block_244,421835,82.8,44,184,4.7,8.6384,78.3418
Ariyalur,Block_245,423330,78.1,18,193,14.3,12.7269,76.2547
Tiruvallur,Block_246,237334,87.4,75,157,7.5,12.694,79.0956
Virudhunagar,Block_247,402421,79.7,33,169,12.4,12.3191,78.9328
Karur,Block_248,455401,65.4,21,61,8.5,9.4062,78.6399
Ariyalur,Block_249,402434,82.3,21,154,4.6,8.2611,77.8553
Madurai,Block_250,498515,79.7,53,197,9.9,10.4288,76.3152
Dindigul,Block_251,414087,82.3,25,91,12.7,10.8734,76.6161
Salem,Block_252,141064,78.2,43,153,14.1,11.0518,79.2837
Erode,Block_253,462361,83.1,72,48,3.2,13.1968,78.3623
Madurai,Block_254,107117,82.8,3,199,9.0,9.4589,79.1371
Perambalur,Block_255,326556,91.1,25,59,4.9,8.1241,79.3311
Theni,Block_256,421256,86.4,44,194,7.1,9.4234,78.7992
Sivagangai,Block_257,389902,91.4,40,40,10.2,13.3484,78.5382
Cuddalore,Block_258,422560,66.1,61,97,3.2,12.5893,78.6757
Ariyalur,Block_259,105831,79.1,68,161,14.1,11.8515,77.6554
Kanchipuram,Block_260,252664,72.5,29,46,15.0,13.1041,79.6517
Coimbatore,Block_261,411841,87.7,70,85,4.2,10.5013,77.4057
Viluppuram,Block_262,399592,81.9,6,195,8.5,10.5238,78.7001
Sivagangai,Block_263,356944,83.7,5,172,11.0,8.2006,79.2382
Tiruvarur,Block_264,436541,66.5,31,40,3.1,8.1043,77.9697
Chennai,Block_265,331697,89.2,43,199,9.9,8.9758,77.8491
Coimbatore,Block_266,58450,86.6,3,58,7.4,8.2783,78.4771
Thoothukudi,Block_267,312034,82.4,65,91,9.9,12.7907,80.0819
Viluppuram,Block_268,227373,67.0,57,70,9.4,11.4367,78.2264
Nilgiris,Block_269,381169,72.1,28,199,13.9,9.3749,80.4493
Namakkal,Block_270,63206,81.7,34,34,4.9,9.4784,77.0572
Karur,Block_271,369333,85.7,58,40,3.0,12.5369,80.2871
Cuddalore,Block_272,447558,65.4,11,196,4.7,9.9422,80.1186
Karur,Block_273,194454,87.8,12,78,6.3,9.9296,79.0297
Chennai,Block_274,420317,75.4,5,170,10.8,11.3343,78.7945
Madurai,Block_275,102782,75.5,61,32,14.6,10.8453,76.8339
Ariyalur,Block_276,403834,84.5,41,34,5.0,12.7015,80.2628
Vellore,Block_277,383577,82.9,47,40,13.9,13.186,78.1039
Trichy,Block_278,157960,73.5,14,51,14.1,8.5479,77.0144
Tiruppur,Block_279,384274,67.1,4,93,4.7,10.8044,80.3475
Ramanathapuram,Block_280,123844,78.0,72,178,6.0,8.0525,78.6294
Namakkal,Block_281,402944,89.2,11,141,8.1,11.5177,77.8506
Tiruvallur,Block_282,379738,87.3,38,79,15.0,13.1378,79.2484
Tiruvallur,Block_283,252966,88.8,32,97,9.5,8.278,78.2859
Ramanathapuram,Block_284,316631,81.6,9,126,5.7,9.6875,79.2214
Dindigul,Block_285,371817,83.5,50,184,5.7,10.7802,77.4882
Perambalur,Block_286,194167,68.1,44,94,12.7,11.6897,80.1719
Pudukkottai,Block_287,315489,78.1,61,27,13.5,8.1729,78.7575
Nagapattinam,Block_288,451806,88.7,66,137,13.3,11.785,78.7045
Vellore,Block_289,462173,68.4,39,47,13.2,12.6761,80.2425
Viluppuram,Block_290,103018,77.7,58,134,3.8,13.0327,77.9491
Salem,Block_291,457346,82.8,4,129,4.2,12.674,77.2506
Krishnagiri,Block_292,421883,65.8,7,43,12.6,9.581,78.6086
Thanjavur,Block_293,286842,85.0,42,93,13.6,10.3869,77.9955
Kanchipuram,Block_294,484004,86.1,79,32,8.9,8.0306,77.014
Pudukkottai,Block_295,196865,86.5,13,102,6.4,9.5814,76.6844
Viluppuram,Block_296,307914,91.3,72,38,9.7,8.2816,77.1978
Trichy,Block_297,279879,76.4,29,190,14.9,10.4704,77.0754
Ramanathapuram,Block_298,279564,74.3,65,57,8.4,8.9105,80.0091
Karur,Block_299,496941,80.2,75,137,7.8,13.2496,78.8488
Erode,Block_300,147870,81.9,0,63,9.7,8.9077,78.7377
Thanjavur,Block_301,234920,82.0,44,114,9.6,10.6615,77.147
Virudhunagar,Block_302,398118,84.9,43,135,8.2,9.1529,80.1851
Ramanathapuram,Block_303,158428,74.5,78,173,12.7,9.1441,80.4271
Salem,Block_304,299588,85.7,48,74,13.5,11.5991,76.014
Krishnagiri,Block_305,437701,79.4,43,28,12.2,9.931,77.9398
Salem,Block_306,246416,89.9,31,31,7.8,11.2128,78.9516
Erode,Block_307,110309,71.9,68,161,5.1,9.5676,77.5668
Theni,Block_308,385331,74.8,60,92,12.4,10.5132,79.1317
Viluppuram,Block_309,216034,84.1,36,109,6.7,13.2502,79.6823
Ariyalur,Block_310,378402,76.0,28,79,9.4,10.0287,76.7197
Coimbatore,Block_311,469765,86.4,73,194,4.9,12.7959,78.9336
Trichy,Block_312,444299,84.4,47,40,5.3,10.2786,78.4984
Thoothukudi,Block_313,362255,83.5,34,85,13.9,11.2693,80.203
Vellore,Block_314,248607,87.4,77,55,12.7,10.2219,76.02
Nilgiris,Block_315,96147,89.3,60,32,8.0,12.8187,78.0165
Sivagangai,Block_316,166299,81.2,26,69,14.7,12.6123,76.8611
Cuddalore,Block_317,209774,84.6,24,122,8.1,11.3636,77.8834
Trichy,Block_318,390721,87.1,42,65,9.6,12.143,79.3825
Cuddalore,Block_319,380939,78.8,11,74,6.4,10.4668,76.0559
Karur,Block_320,242874,75.3,53,166,9.3,12.5098,79.0023
Ramanathapuram,Block_321,373519,71.2,77,28,11.2,13.3555,78.3387
Sivagangai,Block_322,252352,84.9,38,168,10.9,10.102,77.2814
Ariyalur,Block_323,280133,79.8,16,121,8.4,9.4944,77.2096
Perambalur,Block_324,66818,79.0,19,184,8.1,12.6122,77.9517
Tiruvallur,Block_325,142271,82.9,34,114,4.6,10.0884,80.1913
Thanjavur,Block_326,450014,90.0,57,81,4.2,8.2488,79.8808
Virudhunagar,Block_327,374292,67.3,0,111,5.1,9.0389,77.6843
Nilgiris,Block_328,175026,88.9,78,133,7.4,9.9377,79.0349
Chennai,Block_329,218254,74.7,26,159,10.0,12.1035,80.3884
Theni,Block_330,481173,79.6,76,30,6.0,10.5351,78.9503
Nagapattinam,Block_331,119481,67.2,31,128,3.5,9.814,80.4039
Ariyalur,Block_332,392716,77.6,5,196,9.3,11.8954,80.49
Tiruppur,Block_333,275262,75.8,6,84,6.9,10.899,79.7722
Tiruvallur,Block_334,185959,75.2,59,58,6.8,8.3809,80.0291
Tiruppur,Block_335,480630,72.9,6,148,6.4,13.1224,78.1792
Namakkal,Block_336,277661,85.3,27,111,4.5,11.2573,78.1401
Theni,Block_337,334091,81.6,67,66,12.1,8.5516,76.862
Pudukkottai,Block_338,252682,86.6,39,133,3.1,10.3705,79.4454
Salem,Block_339,407744,76.4,61,184,11.8,9.502,77.3996
Madurai,Block_340,175929,72.3,29,40,13.6,10.1012,77.3064
Karur,Block_341,227741,73.6,77,192,10.8,8.888,80.2504
Viluppuram,Block_342,202238,87.9,22,21,13.8,12.1339,78.5004
Sivagangai,Block_343,149115,74.1,58,133,6.7,11.4089,77.7562
Tirunelveli,Block_344,323478,73.5,20,129,6.9,13.3818,76.9746
Thanjavur,Block_345,317071,77.1,50,100,5.2,8.0247,77.0444
Vellore,Block_346,57672,67.0,4,109,6.1,11.9009,76.7722
Thanjavur,Block_347,436685,89.2,26,38,12.3,13.4376,76.7638
Ariyalur,Block_348,498819,76.7,78,200,8.7,12.1758,80.1676
Cuddalore,Block_349,451450,65.6,49,82,9.7,10.9676,77.7313
Karur,Block_350,481938,91.3,68,156,7.8,9.2438,80.3628
Erode,Block_351,229060,81.4,47,118,8.5,8.953,77.9849
Thoothukudi,Block_352,221535,73.1,73,68,6.3,9.5154,78.1446
Salem,Block_353,199361,87.7,75,69,14.6,11.4986,77.0622
Tirunelveli,Block_354,142266,82.6,76,109,8.4,10.4948,78.3156
Viluppuram,Block_355,238958,80.6,48,111,7.4,12.3165,77.2779
Thoothukudi,Block_356,243673,82.8,65,161,12.3,12.3618,77.4146
Tiruvallur,Block_357,174753,69.0,43,20,12.0,8.8036,77.9135
Erode,Block_358,359532,70.5,48,186,4.3,10.2546,76.6251
Tiruppur,Block_359,59896,73.9,12,80,11.1,13.3541,80.4454
Tiruppur,Block_360,264652,81.2,6,50,11.0,12.9463,79.2843
Pudukkottai,Block_361,142836,72.7,67,156,13.7,9.5894,77.4313
Thoothukudi,Block_362,81771,77.5,10,51,11.1,11.7552,78.1602
Nilgiris,Block_363,238656,73.1,29,76,8.6,12.0204,79.7136
Theni,Block_364,362785,68.4,28,104,10.8,12.7633,79.2247
Erode,Block_365,298241,78.8,69,167,3.0,10.2205,79.1148
Tiruvarur,Block_366,193823,69.4,18,95,7.5,8.3117,77.2516
Dindigul,Block_367,272731,89.2,53,74,11.6,11.7315,76.8011
Thoothukudi,Block_368,250498,85.5,79,107,5.2,13.3461,78.1195
Dindigul,Block_369,236286,87.9,38,88,5.4,12.2895,80.2177
Trichy,Block_370,443670,87.5,65,86,6.7,10.814,76.5214
Erode,Block_371,210049,73.3,21,98,13.8,9.9665,77.9616
Theni,Block_372,274230,83.7,51,147,7.6,10.0162,76.0411
Namakkal,Block_373,425465,79.0,13,171,7.1,9.8564,76.4075
Thoothukudi,Block_374,423001,77.6,58,23,3.4,13.1412,79.8124
Tirunelveli,Block_375,463642,85.7,33,128,12.9,9.8808,78.439
Nagapattinam,Block_376,271209,70.4,30,76,5.6,10.2419,79.3868
Perambalur,Block_377,457765,81.1,52,192,6.0,9.4695,78.3195
Erode,Block_378,249101,84.4,53,90,12.8,9.7872,78.7753
Dindigul,Block_379,308707,83.3,54,96,4.5,10.7669,76.9899
Perambalur,Block_380,58884,77.6,23,187,3.3,10.1556,79.098
Tiruppur,Block_381,272005,77.2,67,89,7.3,9.5857,76.5273
